frame,score
frame_000619.png,1.086954
frame_000620.png,1.044404
frame_000621.png,1.082147
frame_000622.png,1.092405
frame_000623.png,1.118532
frame_000624.png,1.018953
frame_000625.png,1.076916
frame_000626.png,1.083324
frame_000627.png,1.122338
frame_000628.png,1.034161
frame_000629.png,1.088090
frame_000630.png,1.101385
frame_000631.png,1.131352
frame_000632.png,1.051744
frame_000633.png,1.071651
frame_000634.png,1.075347
frame_000635.png,1.104223
frame_000636.png,1.025496
frame_000637.png,1.071441
frame_000638.png,1.084228
frame_000639.png,1.120309
frame_000640.png,1.024365
frame_000641.png,1.089111
frame_000642.png,1.085355
frame_000643.png,1.099253
frame_000644.png,1.033372
frame_000645.png,1.067049
frame_000646.png,1.082664
frame_000647.png,1.117612
frame_000648.png,1.040706
frame_000649.png,1.079169
frame_000650.png,1.091721
frame_000651.png,1.125511
frame_000652.png,1.065432
frame_000653.png,1.098970
frame_000654.png,1.097143
frame_000655.png,1.126846
frame_000656.png,1.056314
frame_000657.png,1.101943
frame_000658.png,1.107841
frame_000659.png,1.174904
frame_000660.png,1.099821
frame_000661.png,1.100122
frame_000662.png,1.118000
frame_000663.png,1.108953
frame_000664.png,1.067363
frame_000665.png,1.097533
frame_000666.png,1.105947
frame_000667.png,1.164389
frame_000668.png,1.097683
frame_000669.png,1.111782
frame_000670.png,1.106946
frame_000671.png,1.166809
frame_000672.png,1.074483
frame_000673.png,1.118974
frame_000674.png,1.116111
frame_000675.png,1.140775
frame_000676.png,1.077625
frame_000677.png,1.112149
frame_000678.png,1.114497
frame_000679.png,1.149562
frame_000680.png,1.077606
frame_000681.png,1.110993
frame_000682.png,1.131198
frame_000683.png,1.138665
frame_000684.png,1.092361
frame_000685.png,1.121049
frame_000686.png,1.154992
frame_000687.png,1.148029
frame_000688.png,1.099043
frame_000689.png,1.157554
frame_000690.png,1.170988
frame_000691.png,1.199477
frame_000692.png,1.163362
frame_000693.png,1.216779
frame_000694.png,1.245307
frame_000695.png,1.264819
frame_000696.png,1.202944
frame_000697.png,1.270883
frame_000698.png,1.304304
frame_000699.png,1.350230
frame_000700.png,1.269583
frame_000701.png,1.309280
frame_000702.png,1.299367
frame_000703.png,1.299628
frame_000704.png,1.263383
frame_000705.png,1.281289
frame_000706.png,1.289591
frame_000707.png,1.290297
frame_000708.png,1.187635
frame_000709.png,1.238007
frame_000710.png,1.226271
frame_000711.png,1.245253
frame_000712.png,1.147274
frame_000713.png,1.189253
frame_000714.png,1.173229
frame_000715.png,1.207531
frame_000716.png,1.155696
frame_000717.png,1.177294
frame_000718.png,1.200737
frame_000719.png,1.214498
frame_000720.png,1.135837
frame_000721.png,1.170037
frame_000722.png,1.174745
frame_000723.png,1.202560
frame_000724.png,1.148030
frame_000725.png,1.174691
frame_000726.png,1.192872
frame_000727.png,1.204427
frame_000728.png,1.117768
frame_000729.png,1.164527
frame_000730.png,1.166134
frame_000731.png,1.183609
frame_000732.png,1.103601
frame_000733.png,1.155818
frame_000734.png,1.180839
frame_000735.png,1.194973
frame_000736.png,1.178681
frame_000737.png,1.208193
frame_000738.png,1.166985
frame_000739.png,1.183005
frame_000740.png,1.194257
frame_000741.png,1.250988
frame_000742.png,1.198461
frame_000743.png,1.189902
frame_000744.png,1.136989
frame_000745.png,1.198497
frame_000746.png,1.187137
frame_000747.png,1.241919
frame_000748.png,1.138758
frame_000749.png,1.143455
frame_000750.png,1.816036
frame_000751.png,1.161721
frame_000752.png,1.205280
frame_000753.png,1.207606
frame_000754.png,1.131537
frame_000755.png,1.198557
frame_000756.png,1.205872
frame_000757.png,1.287253
frame_000758.png,1.210490
frame_000759.png,1.267785
frame_000760.png,1.313131
frame_000761.png,1.347687
frame_000762.png,1.274597
frame_000763.png,1.333665
frame_000764.png,1.332635
frame_000765.png,1.337317
frame_000766.png,1.257120
frame_000767.png,1.317716
frame_000768.png,1.298966
frame_000769.png,1.304032
frame_000770.png,1.225799
frame_000771.png,1.342066
frame_000772.png,1.322803
frame_000773.png,1.308318
frame_000774.png,1.258013
frame_000775.png,1.342234
frame_000776.png,1.390928
frame_000777.png,1.429404
frame_000778.png,1.362492
frame_000779.png,1.435340
frame_000780.png,1.471491
frame_000781.png,1.505365
frame_000782.png,1.481188
frame_000783.png,1.565617
frame_000784.png,1.571439
frame_000785.png,1.612076
frame_000786.png,1.570920
frame_000787.png,1.608316
frame_000788.png,1.559718
frame_000789.png,1.533370
frame_000790.png,1.473922
frame_000791.png,1.530629
frame_000792.png,1.523015
frame_000793.png,1.610673
frame_000794.png,1.588333
frame_000795.png,1.625980
frame_000796.png,1.620490
frame_000797.png,1.666549
frame_000798.png,1.514425
frame_000799.png,1.512353
frame_000800.png,1.505220
frame_000801.png,1.508304
frame_000802.png,1.428084
frame_000803.png,1.493200
frame_000804.png,1.462529
frame_000805.png,1.501833
frame_000806.png,1.460432
frame_000807.png,1.500951
frame_000808.png,1.510619
frame_000809.png,1.576132
frame_000810.png,1.497951
frame_000811.png,1.459192
frame_000812.png,1.448036
frame_000813.png,1.447693
frame_000814.png,1.346615
frame_000815.png,1.370704
frame_000816.png,1.375544
frame_000817.png,1.390758
frame_000818.png,1.355640
frame_000819.png,1.421912
frame_000820.png,1.457070
frame_000821.png,1.466505
frame_000822.png,1.444869
frame_000823.png,1.529161
frame_000824.png,1.531644
frame_000825.png,1.545752
frame_000826.png,1.518785
frame_000827.png,1.511154
frame_000828.png,1.506671
frame_000829.png,1.515191
frame_000830.png,1.437112
frame_000831.png,1.477845
frame_000832.png,1.585104
